fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,觀園,30.0,3.9,13.000%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,台中港,35.0,3.0,8.571%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,彰工,86.2,2.2,2.552%,部分檢修
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,雲麥,46.0,4.5,9.783%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,四湖,28.0,1.3,4.643%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,其它台電自有,84.7,20.3,23.956%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,苗栗大鵬,42.0,1.3,3.095%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,鹿威彰濱,55.2,2.8,5.072%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,觀威觀音&桃威新屋,48.3,4.2,8.696%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,中威大安,75.9,9.4,12.385%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,創維風,49.2,12.4,25.203%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,新源崙背,25.2,7.2,28.571%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,彰品風(註10),-,0.0,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,其它購電風力,178.4,11.7,6.558%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,離岸一期,109.2,17.4,15.934%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,海洋竹南,128.0,21.2,16.563%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,海能風,376.0,108.8,28.936%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,沃一風,605.2,175.8,29.049%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,沃二風,294.8,73.6,24.969%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,沃四風(註10),-,114.7,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,沃南風(註10),-,0.0,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,芳一風,96.0,12.6,13.125%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,芳二風,499.2,105.3,21.094%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,允湖,320.0,102.5,32.031%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,允西,320.0,32.5,10.156%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,中能風,294.5,70.6,23.973%, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,龍A風(註10),-,100.3,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,龍B風(註10),-,0.0,-, 
2026-08-20T08:26:36,2026-08-20T16:20:00,風力,小計(註5),3850.0(6.342%),1020.4(2.758%),,
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,觀園,30.0,5.0,16.667%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,台中港,35.0,3.0,8.571%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,彰工,86.2,2.2,2.552%,部分檢修
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,雲麥,46.0,6.2,13.478%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,四湖,28.0,0.6,2.143%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,其它台電自有,84.7,19.4,22.894%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,苗栗大鵬,42.0,1.1,2.619%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,鹿威彰濱,55.2,2.5,4.529%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,觀威觀音&桃威新屋,48.3,5.3,10.973%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,中威大安,75.9,4.4,5.797%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,創維風,49.2,7.7,15.650%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,新源崙背,25.2,7.0,27.778%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,彰品風(註10),-,0.0,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,其它購電風力,178.4,10.3,5.774%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,離岸一期,109.2,13.2,12.051%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,海洋竹南,128.0,25.0,19.531%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,海能風,376.0,73.5,19.548%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,沃一風,605.2,191.0,31.561%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,沃二風,294.8,76.7,26.020%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,沃四風(註10),-,150.0,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,沃南風(註10),-,0.0,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,芳一風,96.0,15.7,16.354%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,芳二風,499.2,80.6,16.146%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,允湖,320.0,82.0,25.625%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,允西,320.0,49.6,15.500%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,中能風,294.5,134.4,45.637%, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,龍A風(註10),-,92.9,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,龍B風(註10),-,0.0,-, 
2026-08-20T08:58:46,2026-08-20T16:50:00,風力,小計(註5),3850.0(6.342%),1060.0(2.914%),,
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,觀園,30.0,1.2,4.000%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,台中港,35.0,3.0,8.571%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,彰工,86.2,3.1,3.596%,部分檢修
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,雲麥,46.0,1.3,2.826%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,四湖,28.0,1.2,4.286%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,其它台電自有,84.7,15.9,18.763%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,苗栗大鵬,42.0,1.2,2.857%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,鹿威彰濱,55.2,2.8,5.072%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,觀威觀音&桃威新屋,48.3,2.9,6.004%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,中威大安,75.9,6.2,8.169%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,新源崙背,25.2,2.2,8.730%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,彰品風(註10),-,0.0,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,其它購電風力,178.4,8.3,4.652%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,離岸一期,109.2,40.0,36.630%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,海洋竹南,128.0,13.9,10.859%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,海能風,376.0,71.8,19.096%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,沃一風,605.2,312.5,51.638%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,沃二風,294.8,219.8,74.567%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,沃四風(註10),-,293.1,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,沃南風(註10),-,0.0,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,芳一風,96.0,18.5,19.271%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,芳二風,499.2,127.1,25.461%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,允湖,320.0,230.7,72.094%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,允西,320.0,95.2,29.750%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,中能風,294.5,69.6,23.633%, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,龍A風(註10),-,162.6,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,龍B風(註10),-,0.0,-, 
2026-08-20T09:32:58,2026-08-20T17:20:00,風力,小計(註5),3850.0(6.342%),1704.8(4.796%),,
