date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-08,中威大安,13.985,75.9,18.43,335.65,48
2026-09-08,中能風,56.533,294.5,19.2,1356.8,48
2026-09-08,允湖,33.56,320.0,10.49,805.45,48
2026-09-08,允西,145.3,320.0,45.41,3487.2,48
2026-09-08,其它台電自有,15.425,84.7,18.21,370.2,48
2026-09-08,其它購電風力,17.41,178.4,9.76,417.85,48
2026-09-08,創維風,7.431,49.2,15.1,178.35,48
2026-09-08,台中港,6.45,35.0,18.43,154.8,48
2026-09-08,四湖,1.042,28.0,3.72,25.0,48
2026-09-08,彰品風(註10),0.0,,,0.0,48
2026-09-08,彰工,9.688,86.2,11.24,232.5,48
2026-09-08,新源崙背,4.74,25.2,18.81,113.75,48
2026-09-08,沃一風,139.956,605.2,23.13,3358.95,48
2026-09-08,沃二風,46.129,294.8,15.65,1107.1,48
2026-09-08,沃南風(註10),11.423,,,274.15,48
2026-09-08,沃四風(註10),111.79,,,2682.95,48
2026-09-08,海洋竹南,28.398,128.0,22.19,681.55,48
2026-09-08,海能風,84.91,376.0,22.58,2037.85,48
2026-09-08,王功,0.0,23.0,0.0,0.0,48
2026-09-08,芳一風,14.731,96.0,15.35,353.55,48
2026-09-08,芳二風,100.413,499.2,20.11,2409.9,48
2026-09-08,苗栗大鵬,3.442,42.0,8.19,82.6,48
2026-09-08,觀園,0.721,30.0,2.4,17.3,48
2026-09-08,觀威觀音&桃威新屋,1.287,48.3,2.67,30.9,48
2026-09-08,離岸一期,23.087,109.2,21.14,554.1,48
2026-09-08,離岸二期(註10),0.777,,,18.65,48
2026-09-08,雲麥,3.819,46.0,8.3,91.65,48
2026-09-08,鹿威彰濱,8.142,55.2,14.75,195.4,48
2026-09-08,龍A風(註10),49.679,,,1192.3,48
2026-09-08,龍B風(註10),40.01,,,960.25,48
2026-09-08,龍三風(註10),81.325,,,1951.8,48
