date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-08-21,中威大安,12.014,75.9,15.83,288.34,14
2026-08-21,中能風,89.664,294.5,30.45,2151.94,14
2026-08-21,允湖,81.793,320.0,25.56,1963.03,14
2026-08-21,允西,63.45,320.0,19.83,1522.8,14
2026-08-21,其它台電自有,21.4,84.7,25.27,513.6,14
2026-08-21,其它購電風力,14.793,178.4,8.29,355.03,14
2026-08-21,創維風,10.093,49.2,20.51,242.23,14
2026-08-21,台中港,4.057,35.0,11.59,97.37,14
2026-08-21,四湖,2.764,28.0,9.87,66.34,14
2026-08-21,彰品風(註10),0.0,,,0.0,14
2026-08-21,彰工,6.643,86.2,7.71,159.43,14
2026-08-21,新源崙背,8.421,25.2,33.42,202.11,14
2026-08-21,沃一風,226.586,605.2,37.44,5438.06,14
2026-08-21,沃二風,102.043,294.8,34.61,2449.03,14
2026-08-21,沃南風(註10),0.0,,,0.0,14
2026-08-21,沃四風(註10),182.771,,,4386.51,14
2026-08-21,海洋竹南,53.379,128.0,41.7,1281.09,14
2026-08-21,海能風,202.071,376.0,53.74,4849.71,14
2026-08-21,王功,0.0,23.0,0.0,0.0,14
2026-08-21,芳一風,22.764,96.0,23.71,546.34,14
2026-08-21,芳二風,137.236,499.2,27.49,3293.66,14
2026-08-21,苗栗大鵬,3.086,42.0,7.35,74.06,14
2026-08-21,觀園,2.393,30.0,7.98,57.43,14
2026-08-21,觀威觀音&桃威新屋,6.107,48.3,12.64,146.57,14
2026-08-21,離岸一期,31.964,109.2,29.27,767.14,14
2026-08-21,離岸二期(註10),0.8,,,19.2,14
2026-08-21,雲麥,3.793,46.0,8.25,91.03,14
2026-08-21,鹿威彰濱,6.171,55.2,11.18,148.11,14
2026-08-21,龍A風(註10),101.386,,,2433.26,14
2026-08-21,龍B風(註10),0.0,,,0.0,14
2026-08-22,中威大安,16.26,75.9,21.42,390.24,50
2026-08-22,中能風,118.484,294.5,40.23,2843.62,50
2026-08-22,允湖,159.924,320.0,49.98,3838.18,50
2026-08-22,允西,111.678,320.0,34.9,2680.27,50
2026-08-22,其它台電自有,17.242,84.7,20.36,413.81,50
2026-08-22,其它購電風力,17.978,178.4,10.08,431.47,50
2026-08-22,創維風,12.06,49.2,24.51,289.44,50
2026-08-22,台中港,4.898,35.0,13.99,117.55,50
2026-08-22,四湖,3.176,28.0,11.34,76.22,50
2026-08-22,彰品風(註10),0.0,,,0.0,50
2026-08-22,彰工,7.552,86.2,8.76,181.25,50
2026-08-22,新源崙背,10.686,25.2,42.4,256.46,50
2026-08-22,沃一風,310.048,605.2,51.23,7441.15,50
2026-08-22,沃二風,134.678,294.8,45.68,3232.27,50
2026-08-22,沃南風(註10),2.858,,,68.59,50
2026-08-22,沃四風(註10),231.294,,,5551.06,50
2026-08-22,海洋竹南,38.03,128.0,29.71,912.72,50
2026-08-22,海能風,192.06,376.0,51.08,4609.44,50
2026-08-22,王功,0.0,23.0,0.0,0.0,50
2026-08-22,芳一風,30.72,96.0,32.0,737.28,50
2026-08-22,芳二風,172.476,499.2,34.55,4139.42,50
2026-08-22,苗栗大鵬,3.274,42.0,7.8,78.58,50
2026-08-22,觀園,2.0,30.0,6.67,48.0,50
2026-08-22,觀威觀音&桃威新屋,3.598,48.3,7.45,86.35,50
2026-08-22,離岸一期,38.066,109.2,34.86,913.58,50
2026-08-22,離岸二期(註10),0.784,,,18.82,50
2026-08-22,雲麥,4.146,46.0,9.01,99.5,50
2026-08-22,鹿威彰濱,6.916,55.2,12.53,165.98,50
2026-08-22,龍A風(註10),112.246,,,2693.9,50
2026-08-22,龍B風(註10),0.0,,,0.0,50
2026-08-23,中威大安,2.667,75.9,3.51,64.0,51
2026-08-23,中能風,96.608,294.5,32.8,2318.59,51
2026-08-23,允湖,114.471,320.0,35.77,2747.29,51
2026-08-23,允西,98.361,320.0,30.74,2360.66,51
2026-08-23,其它台電自有,15.414,84.7,18.2,369.93,51
2026-08-23,其它購電風力,3.184,178.4,1.78,76.42,51
2026-08-23,創維風,10.996,49.2,22.35,263.91,51
2026-08-23,台中港,0.602,35.0,1.72,14.45,51
2026-08-23,四湖,2.935,28.0,10.48,70.45,51
2026-08-23,彰品風(註10),0.0,,,0.0,51
2026-08-23,彰工,1.112,86.2,1.29,26.68,51
2026-08-23,新源崙背,8.018,25.2,31.82,192.42,51
2026-08-23,沃一風,192.669,605.2,31.84,4624.05,51
2026-08-23,沃二風,82.263,294.8,27.9,1974.31,51
2026-08-23,沃南風(註10),4.802,,,115.25,51
2026-08-23,沃四風(註10),146.006,,,3504.14,51
2026-08-23,海洋竹南,3.475,128.0,2.71,83.39,51
2026-08-23,海能風,16.378,376.0,4.36,393.08,51
2026-08-23,王功,0.0,23.0,0.0,0.0,51
2026-08-23,芳一風,16.527,96.0,17.22,396.66,51
2026-08-23,芳二風,106.482,499.2,21.33,2555.58,51
2026-08-23,苗栗大鵬,0.392,42.0,0.93,9.41,51
2026-08-23,觀園,0.82,30.0,2.73,19.67,51
2026-08-23,觀威觀音&桃威新屋,0.778,48.3,1.61,18.68,51
2026-08-23,離岸一期,19.178,109.2,17.56,460.28,51
2026-08-23,離岸二期(註10),0.759,,,18.21,51
2026-08-23,雲麥,3.669,46.0,7.98,88.05,51
2026-08-23,鹿威彰濱,1.108,55.2,2.01,26.59,51
2026-08-23,龍A風(註10),96.182,,,2308.38,51
2026-08-23,龍B風(註10),0.0,,,0.0,51
2026-08-24,中威大安,0.837,75.9,1.1,20.09,43
2026-08-24,中能風,176.505,294.5,59.93,4236.11,43
2026-08-24,允湖,269.835,320.0,84.32,6476.04,43
2026-08-24,允西,236.986,320.0,74.06,5687.67,43
2026-08-24,其它台電自有,17.263,84.7,20.38,414.31,43
2026-08-24,其它購電風力,5.974,178.4,3.35,143.39,43
2026-08-24,創維風,32.702,49.2,66.47,784.86,43
2026-08-24,台中港,0.472,35.0,1.35,11.33,43
2026-08-24,四湖,9.093,28.0,32.48,218.23,43
2026-08-24,彰品風(註10),0.0,,,0.0,43
2026-08-24,彰工,7.602,86.2,8.82,182.46,43
2026-08-24,新源崙背,21.656,25.2,85.94,519.74,43
2026-08-24,沃一風,511.577,605.2,84.53,12277.84,43
2026-08-24,沃二風,194.137,294.8,65.85,4659.29,43
2026-08-24,沃南風(註10),8.853,,,212.48,43
2026-08-24,沃四風(註10),379.916,,,9117.99,43
2026-08-24,海洋竹南,0.523,128.0,0.41,12.56,43
2026-08-24,海能風,6.063,376.0,1.61,145.51,43
2026-08-24,王功,0.0,23.0,0.0,0.0,43
2026-08-24,芳一風,73.279,96.0,76.33,1758.7,43
2026-08-24,芳二風,361.126,499.2,72.34,8667.01,43
2026-08-24,苗栗大鵬,0.0,42.0,0.0,0.0,43
2026-08-24,觀園,0.105,30.0,0.35,2.51,43
2026-08-24,觀威觀音&桃威新屋,0.042,48.3,0.09,1.0,43
2026-08-24,離岸一期,75.547,109.2,69.18,1813.12,43
2026-08-24,離岸二期(註10),0.742,,,17.8,43
2026-08-24,雲麥,11.926,46.0,25.93,286.21,43
2026-08-24,鹿威彰濱,5.581,55.2,10.11,133.95,43
2026-08-24,龍A風(註10),183.295,,,4399.09,43
2026-08-24,龍B風(註10),0.0,,,0.0,43
2026-08-25,中威大安,2.858,75.9,3.77,68.59,38
2026-08-25,中能風,83.111,294.5,28.22,1994.65,38
2026-08-25,允湖,111.603,320.0,34.88,2678.46,38
2026-08-25,允西,88.3,320.0,27.59,2119.2,38
2026-08-25,其它台電自有,18.358,84.7,21.67,440.59,38
2026-08-25,其它購電風力,2.776,178.4,1.56,66.63,38
2026-08-25,創維風,6.853,49.2,13.93,164.46,38
2026-08-25,台中港,1.263,35.0,3.61,30.32,38
2026-08-25,四湖,1.863,28.0,6.65,44.72,38
2026-08-25,彰品風(註10),0.0,,,0.0,38
2026-08-25,彰工,2.432,86.2,2.82,58.36,38
2026-08-25,新源崙背,5.605,25.2,22.24,134.53,38
2026-08-25,沃一風,158.874,605.2,26.25,3812.97,38
2026-08-25,沃二風,63.382,294.8,21.5,1521.16,38
2026-08-25,沃南風(註10),0.85,,,20.4,38
2026-08-25,沃四風(註10),115.418,,,2770.04,38
2026-08-25,海洋竹南,1.253,128.0,0.98,30.06,38
2026-08-25,海能風,12.232,376.0,3.25,293.56,38
2026-08-25,王功,0.0,23.0,0.0,0.0,38
2026-08-25,芳一風,16.155,96.0,16.83,387.73,38
2026-08-25,芳二風,74.939,499.2,15.01,1798.55,38
2026-08-25,苗栗大鵬,0.0,42.0,0.0,0.0,38
2026-08-25,觀園,0.184,30.0,0.61,4.42,38
2026-08-25,觀威觀音&桃威新屋,0.05,48.3,0.1,1.2,38
2026-08-25,離岸一期,14.979,109.2,13.72,359.49,38
2026-08-25,離岸二期(註10),0.737,,,17.68,38
2026-08-25,雲麥,2.053,46.0,4.46,49.26,38
2026-08-25,鹿威彰濱,1.113,55.2,2.02,26.72,38
2026-08-25,龍A風(註10),59.332,,,1423.96,38
2026-08-25,龍B風(註10),0.0,,,0.0,38
2026-08-26,中威大安,1.544,75.9,2.03,37.07,36
2026-08-26,中能風,8.792,294.5,2.99,211.0,36
